# id\tfrequencyRank\tlevel\tword\ttranslation\thint\tpronunciation\tpartOfSpeech
1	1	BASE	the	определённый артикль	Used before a noun when the listener knows which person or thing is meant.	/ðə; ðiː/	article
110	122	BASE	government	правительство; управление; государство	The body with the power to make and/or enforce laws to control a country, land area, people or organization.	/ˈɡaʊməɳʈ/	n
111	123	BASE	house	дом	A building used for something other than a residence (typically with qualifying word). [from 10th c.]	/haʊs/	n
112	124	BASE	each	каждый	All; every; qualifying a singular noun, indicating all examples of the thing so named seen as individual or separate items (compare every).	/it͡ʃ/	determiner
113	125	BASE	based	основанный; базирующийся	Having a specified foundation, origin, or main location.	/beɪst/	adjective
114	126	BASE	day	день	A period of time equal or almost equal to a full day-night cycle, being 24 hours long.	/deɪ/	n
115	127	BASE	same	тот же; одинаковый	Not different or other; not another or others; not different as regards self; selfsame; identical.	/seɪm/	adj
116	128	BASE	won	вона	The currency of Korea, worth 100 jun in North Korea and 100 jeon in South Korea.	/wɑn/	n
117	129	BASE	use	употребить; прок; польза; применить	(transitive) To employ; to apply; to utilize.	/(j)ɪu̯s/	v
118	130	BASE	station	станция; база; пункт; канал	A place where one stands or stays or is assigned to stand or stay.	/ˈsteɪ.ʃən/	n
119	131	BASE	club	клуб; бита; бить; палка	(countable, golf) An implement to hit the ball in certain ball games, such as golf.	/klʊb/	n
120	132	BASE	international	международный; интернационал; интернациональный	common to, or affecting, two or more nations.	/ˌɪn.(t)ɚˈnæʃ.(ə.)n(ə)l/	adj
121	133	BASE	town	град; город; городок; посёлок	(UK, historical) A rural settlement in which a market was held at least once a week.	/taʊn/	n
122	135	BASE	population	население; популяция	A count of the number of residents within a political or geographical boundary such as a town, a nation or the world.	/ˌpɑ.pjəˈleɪ.ʃən/	n
123	136	BASE	general	общий; генерал; всеобщий; полководец	Including or involving every part or member of a given or implied entity, whole, etc.; common to all, universal. [from 13th c.]	/ˈd͡ʒen.(ə.)ɹəl/	adj
124	137	BASE	college	колледж; институт; вуз; училище	(UK) An institution for adult education at a basic or intermediate level (teaching those of any age).	/kɔ.ledʒ/	n
125	138	BASE	east	восток; ост; восход; восточный	The direction of the earth's rotation, specifically 90°.	/iːst/	n
126	139	BASE	found	нашёл; найденный; основал	To start (an institution or organization).	/faʊnd/	v
127	140	BASE	age	возраст; век; эпоха; время	(uncountable) The state of being old; the latter part of life.	/eɪd͡ʒ/	n
128	141	BASE	march	ход; марш; марка; течение	A formal, rhythmic way of walking, used especially by soldiers, by bands, and in ceremonies.	/mɑɹt͡ʃ/	n
129	142	BASE	end	конец; энд; край; смерть	(by extension, often with "the") Death.	/iːnd/	n
130	145	BASE	home	дом; домой	One’s own dwelling place; the house or structure in which one lives; especially the house in which one lives with one's family; the habitual abode of one’s family.	/hoʊm/	n
131	146	BASE	public	общественный; публика	Able to be known or seen by everyone; happening without concealment; open to general view. [from 14th c.]	/ˈpʊblɪk/	adj
132	147	BASE	church	церковь; костёл; кирха; месса	(countable, Christianity) A Christian house of worship; a building where Christian religious services take place. [from 9th c.]	/t͡ʃɜɹt͡ʃ/	n
133	148	BASE	line	линия; черта; курс; линь	(geography) A circle of latitude or of longitude, as represented on a map.	/laɪn/	n
134	150	BASE	river	река; речка; коридор	A large and often winding stream which drains a land mass, carrying water down from higher areas to a lower point, oftentimes ending in another body of water, such as an ocean or i…	/ˈɹɪvə/	n
135	151	BASE	member	член; часть тела	One who belongs to a group.	/ˈmɛmbə/	n
136	152	BASE	system	система	(computing) A set of hardware and software operating in a computer.	/ˈsɪstəm/	n
137	153	BASE	place	место; размещать	(often, in street names or addresses) A street, sometimes but not always surrounding a public place, square, or plaza of the same name.	/pleɪs/	n
138	154	BASE	century	столетие; век; центурия	A period of one hundred consecutive years; often specifically a numbered period with conventional start and end dates, e.g., the twentieth century, which stretches from (strictly)…	/ˈsen(t)ʃ(ə)ɹi/	n
139	155	BASE	band	лента; банда; полоса; диапазон	A strip of material wrapped around things to hold them together.	/bænd/	n
140	160	BASE	song	песня; песнь; пение; песенка	(music) A musical composition with lyrics for voice or voices, performed by singing.	/sɑŋ/	n
141	161	BASE	august	величавый; августейший; царственный; благородный	Awe-inspiring, majestic, noble, venerable.	/ɑˈɡʌst/	adj
142	162	BASE	best	лучший; победить; наилучший; превзойти	(uncountable) The supreme effort one can make, or has made.	/ˈbɛst/	n
143	163	BASE	former	бывший; первый; прежний; предыдущий	Previous.	/ˈfɔɹmɚ/	adj
144	165	BASE	party	группа; пати; парти; приём	(legal) A person or group of people constituting one side in a legal proceeding, such as in a legal action or a contract. [from ca. 1300s]	/ˈpɐːti/	n
145	168	BASE	village	село; аул; весь; весца	A rural habitation of size between a hamlet and a town.	/vɪˈledʒ/	n
146	169	BASE	show	показывать; показать; показ; зрелище	(countable) An exhibition of items.	/ʃo(w)/	n
147	170	BASE	local	локальный; местный; туземец	(computing, of a resource) Connected directly to a particular computer, processor, etc.; able to be accessed offline.	/ˈloʊ.kl̩/	adj
148	173	BASE	service	служба; сервис; услуга; сервиз	An act of being of assistance to someone.	/ˈsɜː.vɪs/	n
149	176	BASE	another	другой; ещё один; различный	One more further, in addition to the quantity by then; a second or additional one, similar in likeness or in effect.	/eɪˈnʌð.ɚ/	determiner
150	177	BASE	major	майор; совершеннолетний; мажорный; главный предмет	(military ranks) A rank of officer in the army and the US air force, between captain and lieutenant colonel.	/ˈmeɪ.d͡ʒə(ɹ)/	n
151	178	BASE	within	внутри	In the inner part, spatially; physically inside.	/wɪtˈɪn/	preposition
152	179	BASE	along	вдоль; по; далее; вместе	In company; together.	/əˈlæŋ/	adv
153	181	BASE	five	пять; пятёрка; пяток; пятеро	The digit/figure 5.	/faj(v)/	n
154	182	BASE	single	один; одна; целый; сингл	Not accompanied by anything else; one in number.	/ˈsɪŋɡl̩/	adj
155	183	BASE	due	ожидаемый; прямо; точно; должный	Appropriate.	/dju/<a:traditional>	adj
156	184	BASE	although	хотя; хоть; хоть и; однако	Though, even though, in spite of or despite the fact that: introducing a clause that expresses a concession.	/ɑlˈðoʊ/<a:cot-caught>	conjunction
157	185	BASE	small	маленький; малый; молодой	Not large or big; insignificant; few in number.	/smoːl/	adj
158	186	BASE	old	старый; бывший; пожилой; в годах	Of a living being, having lived for most of the expected years.	/aʊld/	adj
159	187	BASE	left	левый; либеральный; слева; влево	Designating the side of the body toward the west when one is facing north; the side of the body on which the heart is located in most humans; the opposite of right. This arrow poin…	/lɛf/	adj
160	188	BASE	final	финал; финаль; эндшпиль; финальный	(North America, Philippines) A final examination; a test or examination given at the end of a term or class; the test that concludes a class.	/ˈfaɪn(ə)l/	n
161	189	BASE	large	большой; крупный	Of considerable or relatively great size or extent.	/læɹd͡ʒ/	adj
162	190	BASE	include	включать; включить; содержать; присоединить	To bring into a group, class, set, or total as a (new) part or member.	/ɪnˈkluːd/	v
163	191	BASE	building	здание; дом; стройка; строение	(uncountable) The act or process by which something is built; construction.	/ˈbɪl.dɪŋ/	n
164	193	BASE	president	президент; председатель; председательница; глава государства	The head of state of a republic.	/ˈpɹɛzɪdənt/	n
165	196	BASE	death	смерть; гибель; кончина; погибель	Execution (in the judicial sense).	/diːθ/	n
166	198	BASE	main	главный; основной	Chief, most important, or principal in extent, size, or strength; consisting of the largest part.	/meɪn/	adj
167	199	BASE	third	третий; треть; терция; (одна) третья (часть)	The person or thing in the third position.	/tʊːɹd/	n
168	200	BASE	set	набор; сет; серия; задать	(transitive) To put (something) down, to rest.	/sɛt/	v
169	202	BASE	own	собственный; свой; иметь; владеть	(transitive) To have rightful possession of (property, goods or capital); to have legal title to; to acquire a property or asset.	/aʊn/	v
170	203	BASE	order	порядок; орден; заказ; заказать	(countable) Arrangement, disposition, or sequence.	/ˈɔɹ.dɚ/	n
171	204	BASE	species	вид	(biology, taxonomy) A category in the classification of organisms, ranking below genus; a taxon at that rank.	/-iːz/	n
172	205	BASE	park	парк; парковать; парковаться; ставить на стоянка|стоянку	(transitive) To bring (something such as a vehicle) to a halt or store in a specified place.	/pɐk/	v
173	206	BASE	law	закон; право; правило; полиция	(usually with "the") The body of binding rules and regulations, customs, and standards established in a community by its legislative and judicial authorities.	/laː/	n
174	207	BASE	air	воздух; вид; дух; ария	(historical, philosophy, alchemy) One of the four elements of the ancient Greeks and Romans.	/eə/	n
175	209	BASE	road	путь; дорога	A way used for travelling between places, originally one wide enough to allow foot passengers and horses to travel, now (US) usually one surfaced with asphalt or concrete and desig…	/rod/	n
176	211	BASE	book	книга	A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc.	/buːk/	n
177	212	BASE	men	мужчины; люди	The plural form of man.	/mɛn/	noun
178	214	BASE	army	армия; войско; войска; вооружённые силы	The governmental agency in charge of a state's army.	/ˈɐː.mi(ː)/	n
179	215	BASE	often	часто; зачастую; частенько	Frequently; many times on different occasions.	/ˈɑftən/	adv
180	217	BASE	education	образование; обучение; воспитание; просвещение	(uncountable) The process of imparting knowledge, skill and judgment.	/ˌɛd.jʊˈkeɪ.ʃən/	n
181	218	BASE	central	центральный	Being in the centre.	/ˈsɛntɹəl/	adj
182	219	BASE	country	страна; край; земля; село	The territory of a nation; a sovereign state or a region once independent and still distinct in institutions, language, etc. [from 14th c.]	/kəɳʈɾi/	n
183	220	BASE	division	деление; отдел; раздел; секция	(uncountable) The act or process of dividing anything.	/dɪˈvɪʒən/	n
184	222	BASE	top	верх; топ; топ-; актив	A garment worn to cover the torso.	/tɑp/	n
185	224	BASE	development	развитие; разработка; достижение	(countable) Something which has developed.	/dɪˈvɛləpmənt/	n
186	226	BASE	community	коммуна; сообщество; общество; общность	(countable) A group sharing common characteristics, such as the same language, law, religion, or tradition.	/k(ə)ˈmju.nə.ti/	n
187	227	BASE	among	между; среди; средь	Denotes a mingling or intermixing with distinct or separable objects. (See Usage Note at amidst.)	/əˈmɒŋ/	preposition
188	228	BASE	water	вода	(uncountable) An inorganic compound (of molecular formula H2O) found at room temperature and pressure as a clear liquid; it is present naturally as rain, and found in rivers, lakes…	/-ɑ/	n
189	229	BASE	play	играть; пьеса; поиграть; игра	(intransitive) To act in a manner such that one has fun; to engage in activities expressly for the purpose of recreation or entertainment.	/ple(j)/	v
190	230	BASE	side	сторона; бок; страница	A bounding straight edge of a two-dimensional shape.	/saɪd/	n
191	231	BASE	list	список; крен; кайма; каёмка	A strip of fabric, especially from the edge of a piece of cloth.	/lɪst/	n
192	232	BASE	times	на	(mathematics) Multiplied by (see also 'ratio of comparison' sense at 'time).	/taɪmz/	preposition
193	233	BASE	near	близко; у; возле; около	Physically close to, in close proximity to.	/nɛə/	preposition
194	234	BASE	late	поздний; поздно; усопший; покойный	Near the end of a period of time.	/leɪt/	adj
195	235	BASE	form	форма; формировать; бланк; фигура	(transitive) To give (a shape or visible structure) to a thing or person.	/fo(ː)ɹm/	v
196	236	BASE	original	свежий; исходный; оригинал; оригинальный	(not comparable) Relating to the origin or beginning; preceding all others.	/ɒˈɹɪd͡ʒɪnəl/<q:obsolete><ref:>	adj
197	237	BASE	different	иной; другой; разный; отличный	Not the same; exhibiting a difference.	/ˈdɪ.fə.ɹənt/	adj
198	238	BASE	center	центр; середина; средина; центрировать	(geometry) The point in the interior of any figure of any number of dimensions that has as its coordinates the arithmetic mean of the coordinates of all points on the perimeter of…	/ˈsɛn.(t)ɚ/	n
199	239	BASE	power	власть; мощность; сила; степень	(metonymically, chiefly, in the plural) The people in charge of legal or political power, the government.	/ˈpaʊ̯.(ə)ɹ/	n
200	242	BASE	german	немецкий; немец; немецкий язык	Related to Germany, its people, or their language.	/ˈdʒɜːrmən/	adjective
201	244	BASE	court	двор; суд; корт; площадка	An enclosed space; a courtyard; an uncovered area shut in by the walls of a building, or by different buildings; also, a space opening from a street and nearly surrounded by houses…	/ko(r)ʈ/	n
202	245	BASE	six	шесть; шестеро; шестёрка	The digit or figure 6.	/sɪks/	n
203	246	BASE	land	земля; ия; край; ланд	The part of Earth which is not covered by oceans or other bodies of water.	/lænd/	n
204	247	BASE	council	совет	A committee that leads or governs (e.g. city council, student council).	/ˈkaʊn.səl/	n
205	248	BASE	island	остров; усеять; покрыть; усеивать	(transitive) To set, dot (as if) with islands.	/aj.læɳɖ/	v
206	250	BASE	record	диск; запись; рекорд; записать	An item of information put into a temporary or permanent physical medium.	/ˈɹɛk.ɔɹd/	n
207	251	BASE	million	миллион	(long scale, and, short scale) The cardinal number 1 000 000: 106; a thousand thousand.	/ˈmɪljən/	numeral
208	252	BASE	research	исследовать; исследование; расследовать	(transitive) To search or examine with continued care; to seek diligently.	/ɹiˈsɝt͡ʃ/	v
209	253	BASE	art	искусство; умение; мастерство	(uncountable) The conscious production or arrangement of sounds, colours, forms, movements, or other elements in a manner that affects the senses and emotions, usually specifically…	/ɐːt/	n
210	255	BASE	award	приз; премия; решение; награда	(legal) A judgment, sentence, or final decision. Specifically: The decision of arbitrators in a case submitted.	/əˈwɔɹd/	n
211	256	BASE	street	улица	A paved part of road, usually in a village or a town.	/stɹit/	n
212	257	BASE	military	военный; армия; войска; воинский	Characteristic of members of the armed forces.	/mɪ.lɪˈta.ɾi/	adj
213	258	BASE	television	телевидение; ТВ; телик; телевизор	(countable) An electronic home entertainment device equipped with a screen and a speaker for receiving television signals and displaying them in audio-visual form.	/ˈtɛləˌvɪʒən/	n
214	259	BASE	given	данный; учитывая; настоящий; конкретный	Already arranged.	/ˈɡɪv.n̩/	adj
215	260	BASE	region	край; область; район; регион	Any considerable and connected part of a space or surface; specifically, a tract of land or sea of considerable but indefinite extent; a country; a district; in a broad sense, a pl…	/ˈɹiːd͡ʒn̩/	n
216	261	BASE	support	поддержка; опора; поддержать; поддерживать	(sometimes, attributive) Something which supports.	/səˈpo(ː)ɹt/	n
217	262	BASE	western	вестерн; западный	(Should we move, merge or split([http://en.wikipedia.org/w/index.php?title=Wiktionary%3ARequests+for+moves%2C+mergers+and+splits&action=edit&section=new&preload=Template:rfm-sense/…	/ˈwɛstən/	n
218	263	BASE	production	производство; добыча; изделия; выработка	The act of producing, making or creating something. [from 15th c.]	/pɹəˈdʌkʃən/	n
219	265	BASE	political	политический	Concerning or relating to politics, the art and process of governing.	/pəˈlɪtəkəl/	adj
220	266	BASE	point	пункт; точка; смысл; очко	(mathematics, science) A zero-dimensional mathematical object representing a location in one or more dimensions; something considered to have position but no magnitude or direction…	/pɔɪnt/	n
221	267	BASE	cup	кубок; чашка; чаша; чашечка	The contents of said vessel.	/kʊp/	n
222	268	BASE	period	период; цикл; урок; точка	A length of time in history seen as a single coherent entity; an epoch, era. [from 16th c.]	/ˈpi.ɹɪd/	n
223	269	BASE	business	дело; бизнес; занятие; фирма	(countable) A specific commercial enterprise or establishment.	/ˈbɪd.nɪs/	n
224	270	BASE	title	титул; звание; заглавие; название	(by extension) A section or division of a writing, as of an act of law or a book.	/ˈtaɪ.tl̩/	n
225	272	BASE	various	разный; различный	Having a broad range (of different elements).	/ˈvæɹi.əs/	adj
226	273	BASE	election	выборы; выбор; избрание	A process of choosing a leader, members of parliament, councillors, or other representatives by popular vote.	/əˈlɛkʃ(ə)n/	n
227	276	BASE	role	роль; должность	A character or part played by a performer or actor.	/roːl/	n
228	278	BASE	become	становиться; идти; стать; годиться	(transitive) To be proper for; to beseem. [from 13th c.]	/biˈkʌm/	v
229	279	BASE	program	программа; передача; програмка; программировать	A set of structured activities; a plan of action.	/prɵˈɡram/	n
230	281	BASE	field	поле; луг; нива; область	A land area free of woodland, cities, and towns; an area of open country.	/fild/	n
231	282	BASE	total	сумма; весь; итог; целый	Entire; relating to the whole of something.	/ˈtoʊ.tl̩/	adj
232	283	BASE	office	бюро; пост; офис; обряд	(religion) A ceremonial duty or service, particularly:	/ˈɑ.fɪs/	n
233	284	BASE	class	класс; курс; разряд; группа	(countable) A group, collection, category or set sharing characteristics or attributes.	/klas/	n
234	285	BASE	written	письменный; написанный	Of, relating, or characteristic of writing (i.e., of that which has been written).	/ˈɹɪ.tn̩/	adj
235	286	BASE	association	объединение; соединение; ассоциация; союз	(uncountable) The act of associating.	/əˌsoʊsiˈeɪʃən/	n
